codmun7,idh,habitantes,uf,cidade
1501709,0.6,127686,PA,Bragança
2933455,0.6,12238,BA,Wanderley
2916906,0.6,12576,BA,Itiruçu
3150802,0.6,17626,MG,Piranga
3134004,0.6,14990,MG,Itinga
5101605,0.6,8564,MT,Barão de Melgaço
2907707,0.6,11177,BA,Chorrochó
2103257,0.6,14697,MA,Cidelândia
2111573,0.6,4668,MA,São Pedro dos Crentes
1718758,0.6,6478,TO,Rio Sono
2304202,0.713,132123,CE,Crato
2304236,0.59,18063,CE,Croatá
3121704,0.601,3802,MG,Diogo de Vasconcelos
2907905,0.601,17300,BA,Cipó
2209104,0.601,6240,PI,Santa Cruz do Piauí
2203404,0.601,6904,PI,Dom Expedito Lopes
2926608,0.601,53807,BA,Ribeira do Pombal
2304251,0.632,24827,CE,Cruz
2406106,0.601,18295,RN,Jucurutu
2510105,0.601,10638,PB,Nova Floresta
2406205,0.601,6769,RN,Lagoa d'Anta
2906709,0.601,25189,BA,Cândido Sales
3135506,0.601,12386,MG,Jequeri
1710904,0.601,3777,TO,Itapiratins
1720937,0.601,2148,TO,Taipas do Tocantins
2922409,0.601,22221,BA,Mutuípe
3101003,0.601,13539,MG,Águas Vermelhas
2208908,0.601,7341,PI,Ribeiro Gonçalves
2101905,0.601,21280,MA,Bequimão
5103379,0.601,19750,MT,Cotriguaçu
2304269,0.609,9625,CE,Deputado Irapuan Pinheiro
2304277,0.61,7198,CE,Ereré
2304285,0.701,53618,CE,Eusébio
2918605,0.602,6186,BA,Jussiape
2414456,0.602,3237,RN,Triunfo Potiguar
3155207,0.602,5474,MG,Rio Espera
2903300,0.602,5591,BA,Barro Preto
2608503,0.602,21429,PE,Lagoa de Itaenga
2913101,0.602,17113,BA,Ibititá
2803104,0.602,4903,SE,Itabi
1502608,0.602,12085,PA,Colares
3108503,0.602,6319,MG,Botumirim
2206720,0.602,8570,PI,Nazária
2601102,0.602,84418,PE,Araripina
2602209,0.602,39184,PE,Bom Jardim
2105948,0.602,8873,MA,Lago dos Rodrigues
2604601,0.602,26421,PE,Condado
2503001,0.602,21828,PB,Caaporã
2111763,0.602,14293,MA,Senador La Rocque
2611804,0.602,47415,PE,Ribeirão
2110500,0.602,45211,MA,São Bento
2605905,0.602,31052,PE,Gameleira
1506187,0.602,52357,PA,Rondon do Pará
2304301,0.633,19450,CE,Farias Brito
1506708,0.602,72817,PA,Santana do Araguaia
2408706,0.603,3768,RN,Paraú
3125903,0.603,9820,MG,Ferros
2900108,0.603,8739,BA,Abaíra
2507408,0.603,7739,PB,Jericó
2505808,0.603,3596,PB,Duas Estradas
2510501,0.603,3932,PB,Olivedos
3126752,0.603,5391,MG,Franciscópolis
2909307,0.603,32137,BA,Correntina
2405603,0.603,14837,RN,Jardim de Piranhas
2924504,0.603,16260,BA,Pindaí
2504108,0.603,2659,PB,Carrapateira
2805307,0.603,9280,SE,Pirambu
1717800,0.603,4596,TO,Ponte Alta do Bom Jesus
2404705,0.603,15491,RN,Ipanguaçu
2904100,0.603,21508,BA,Boquira
1200500,0.603,45848,AC,Sena Madureira
1703073,0.603,4591,TO,Barra do Ouro
2612406,0.603,26462,PE,Sanharó
2304350,0.644,24218,CE,Forquilha
2304400,0.754,2669342,CE,Fortaleza
2413607,0.604,2440,RN,Severiano Melo
2411007,0.604,4467,RN,Rodolfo Fernandes
2801900,0.604,3987,SE,Cumbe
3106655,0.604,4735,MG,Berizal
2919900,0.604,7824,BA,Macururé
2925105,0.604,46871,BA,Poções
2604403,0.604,13518,PE,Chã de Alegria
2807303,0.604,3227,SE,Telha
2600708,0.604,38386,PE,Aliança
2800670,0.604,26816,SE,Boquim
2606101,0.604,30604,PE,Glória do Goitá
2405009,0.604,9133,RN,Jaçanã
2101939,0.604,6043,MA,Bernardo do Mearim
1720804,0.604,9029,TO,Sítio Novo do Tocantins
3127800,0.604,15836,MG,Grão Mogol
2701001,0.604,27281,AL,Boca da Mata
2103208,0.604,79675,MA,Chapadinha
2807105,0.604,40484,SE,Simão Dias
1702158,0.604,5729,TO,Araguanã
1200013,0.604,15256,AC,Acrelândia
2104305,0.604,11819,MA,Godofredo Viana
2304459,0.624,16480,CE,Fortim
1508126,0.604,59210,PA,Ulianópolis
2304509,0.604,14072,CE,Frecheirinha
2304608,0.568,7618,CE,General Sampaio
2304657,0.57,14399,CE,Graça
2926707,0.605,12989,BA,Rio de Contas
3122009,0.605,19931,MG,Divino
2932002,0.605,24240,BA,Uauá
2516706,0.605,15161,PB,Teixeira
2614600,0.605,28534,PE,Tabira
2928406,0.605,28338,BA,Santa Rita de Cássia
2616100,0.605,9534,PE,Verdejante
2706448,0.605,13176,AL,Paripueira
2411106,0.605,3600,RN,Ruy Barbosa
2203701,0.605,39737,PI,Esperantina
2615508,0.605,13769,PE,Tracunhaém
1720259,0.605,3082,TO,São Salvador do Tocantins
3155108,0.605,5150,MG,Rio do Prado
2103109,0.605,10675,MA,Cedral
2616308,0.605,32643,PE,Vicência
2919702,0.605,18755,BA,Macarani
1717008,0.605,4447,TO,Pindorama do Tocantins
1706001,0.605,5588,TO,Couto Magalhães
1507961,0.605,11720,PA,Terra Alta
1301704,0.605,55080,AM,Humaitá
1720101,0.605,5324,TO,São Bento do Tocantins
2111532,0.605,12690,MA,São Pedro da Água Branca
2304707,0.559,54748,CE,Granja
2304806,0.585,4844,CE,Granjeiro
2304905,0.633,11068,CE,Groaíras
2304954,0.617,26064,CE,Guaiúba
2400505,0.606,13577,RN,Alexandria
3125408,0.606,4753,MG,Felício dos Santos
2603603,0.606,8551,PE,Camutanga
2921906,0.606,9062,BA,Mucugê
2500734,0.606,2238,PB,Amparo
2412500,0.606,23519,RN,São Miguel
2403905,0.606,2824,RN,Francisco Dantas
2908309,0.606,17247,BA,Conceição do Almeida
2601904,0.606,60798,PE,Bezerros
3157278,0.606,3150,MG,Santa Bárbara do Monte Verde
2401206,0.606,14306,RN,Arês
2513927,0.606,4529,PB,São Bentinho
2512309,0.606,23345,PB,Princesa Isabel
3152131,0.606,4261,MG,Ponto Chique
2505303,0.606,2516,PB,Curral Velho
2409100,0.606,13277,RN,Passa e Fica
3127503,0.606,6158,MG,Gonzaga
1718808,0.606,4711,TO,Sampaio
2101608,0.606,88212,MA,Barra do Corda
2917300,0.606,28602,BA,Ituberá
2112233,0.606,21998,MA,Trizidela do Vale
2305001,0.609,40642,CE,Guaraciaba do Norte
2305100,0.637,5193,CE,Guaramiranga
2305209,0.597,19978,CE,Hidrolândia
2305233,0.658,67337,CE,Horizonte
2305266,0.577,13353,CE,Ibaretama
2305308,0.608,24997,CE,Ibiapina
2305332,0.606,12525,CE,Ibicuitinga
2305357,0.616,19934,CE,Icapuí
2305407,0.606,68018,CE,Icó
2920502,0.607,20834,BA,Maracás
3159506,0.607,5489,MG,Santa Rita do Itueto
2923308,0.607,8564,BA,Ouriçangas
2502508,0.607,17804,PB,Boqueirão
3164472,0.607,6555,MG,São Sebastião do Anta
2203206,0.607,11388,PI,Curimatá
3157500,0.607,4409,MG,Santa Efigênia de Minas
2512705,0.607,19621,PB,Remígio
2903235,0.607,14931,BA,Barro Alto
1712702,0.607,2684,TO,Mateiros
2103752,0.607,12908,MA,Davinópolis
2402709,0.607,11179,RN,Cerro Corá
1101401,0.607,15852,RO,Monte Negro
2305506,0.677,102498,CE,Iguatu
2305605,0.632,26178,CE,Independência
2410504,0.608,5098,RN,Rafael Fernandes
2406007,0.608,5951,RN,José da Penha
3138674,0.608,6266,MG,Luisburgo
2607109,0.608,4548,PE,Ingazeira
3135357,0.608,7969,MG,Japonvar
2500700,0.608,18034,PB,São João do Rio do Peixe
2411809,0.608,3584,RN,São Fernando
2509156,0.608,6617,PB,Marizópolis
2512200,0.608,4209,PB,Prata
2511400,0.608,18703,PB,Picuí
2501203,0.608,6998,PB,Areial
2512507,0.608,43967,PB,Queimadas
2407005,0.608,10116,RN,Luís Gomes
4107124,0.608,3439,PR,Diamante do Sul
3122355,0.608,6786,MG,Divisa Alegre
1507409,0.608,15882,PA,São Francisco do Pará
2930303,0.608,17386,BA,Serra Dourada
2414001,0.608,15727,RN,Tangará
2613404,0.608,21298,PE,São José da Coroa Grande
2204204,0.608,9319,PI,Francisco Santos
1506302,0.608,23752,PA,Salvaterra
3157104,0.608,7009,MG,Salto da Divisa
1718659,0.608,2130,TO,Rio da Conceição
2900801,0.608,22470,BA,Alcobaça
2407500,0.608,12371,RN,Maxaranguape
2928208,0.608,26614,BA,Santana
2305654,0.579,11593,CE,Ipaporanga
4117305,0.609,22141,PR,Ortigueira
4123857,0.609,9615,PR,Santa Maria do Oeste
2401404,0.609,9271,RN,Baía Formosa
2501351,0.609,3990,PB,Assunção
2407807,0.609,22451,RN,Monte Alegre
2407302,0.609,8347,RN,Marcelino Vieira
2608453,0.609,18071,PE,Lagoa do Carro
2516805,0.609,9455,PB,Triunfo
2806206,0.609,19998,SE,Salgado
1101708,0.609,11467,RO,Urupá
2513307,0.609,5889,PB,Santa Helena
2609006,0.609,25376,PE,Macaparana
2807204,0.609,8893,SE,Siriri
3156601,0.609,10241,MG,Rubim
2110203,0.609,37855,MA,Santa Rita
5200829,0.609,3812,GO,Amaralina
1303809,0.609,45564,AM,São Gabriel da Cachoeira
1505007,0.609,15363,PA,Nova Timboteua
2111052,0.609,11177,MA,São João do Paraíso
3135076,0.609,5404,MG,Jampruca
2919801,0.609,49826,BA,Macaúbas
3170008,0.609,12533,MG,Ubaí
2104800,0.609,69527,MA,Grajaú
3122454,0.609,11019,MG,Divisópolis
1504406,0.609,28336,PA,Marapanim
5107776,0.609,8371,MT,Santa Terezinha
2604205,0.609,42892,PE,Catende
2305704,0.606,12463,CE,Ipaumirim
2305803,0.618,41964,CE,Ipu
2305902,0.573,38166,CE,Ipueiras
2209609,0.61,2942,PI,São Félix do Piauí
3157906,0.61,16208,MG,Santa Margarida
2609808,0.61,14991,PE,Orocó
3100500,0.61,9470,MG,Açucena
2610905,0.61,67395,PE,Pesqueira
2903276,0.61,15978,BA,Barrocas
2613503,0.61,33959,PE,São José do Belmonte
2927200,0.61,30814,BA,Ruy Barbosa
2502607,0.61,6117,PB,Igaracy
2706901,0.61,35111,AL,Pilar
2111607,0.61,18868,MA,São Raimundo das Mangabeiras
2802007,0.61,5138,SE,Divina Pastora
2609709,0.61,23884,PE,Orobó
3130655,0.61,7351,MG,Indaiabira
3171600,0.61,13752,MG,Virgem da Lapa
4301750,0.61,7487,RS,Barão do Triunfo
2916807,0.61,19747,BA,Itarantim
2927804,0.61,6315,BA,Santa Cruz da Vitória
2108009,0.61,19472,MA,Pastos Bons
2106755,0.61,28381,MA,Miranda do Norte
2306009,0.652,14297,CE,Iracema
2306108,0.605,24156,CE,Irauçuba
2306207,0.656,7827,CE,Itaiçaba
2306256,0.626,37980,CE,Itaitinga
2306306,0.623,52675,CE,Itapajé
2912004,0.611,9224,BA,Ibiassucê
3305703,0.611,15623,RJ,Sumidouro
2412807,0.611,8202,RN,São Rafael
2919504,0.611,45732,BA,Livramento de Nossa Senhora
2608800,0.611,40288,PE,Lajedo
2800100,0.611,2374,SE,Amparo do São Francisco
2503100,0.611,5611,PB,Cabaceiras
2908408,0.611,66612,BA,Conceição do Coité
2932200,0.611,19056,BA,Ubaitaba
2412203,0.611,43899,RN,São José de Mipibu
4127882,0.611,8769,PR,Tunas do Paraná
1101492,0.611,20266,RO,São Francisco do Guaporé
1303569,0.611,33347,AM,Rio Preto da Eva
1100080,0.611,18331,RO,Costa Marques
5103254,0.611,38582,MT,Colniza
2306405,0.64,129358,CE,Itapipoca
2306504,0.604,20382,CE,Itapiúna
2306553,0.606,41826,CE,Itarema
2413805,0.612,2566,RN,Taboleiro Grande
3171154,0.612,4839,MG,Vermelho Novo
2512077,0.612,4307,PB,Poço de José de Moura
2612471,0.612,12592,PE,Santa Cruz da Baixa Verde
3171501,0.612,3203,MG,Mathias Lobato
2201705,0.612,5501,PI,Bertolínia
3150158,0.612,8566,MG,Piedade de Caratinga
2924652,0.612,10437,BA,Pintadas
2904001,0.612,14368,BA,Boninal
2201408,0.612,7032,PI,Barro Duro
2103703,0.612,32695,MA,Cururupu
2702405,0.612,52016,AL,Delmiro Gouveia
1710508,0.612,7433,TO,Itacajá
1100940,0.612,25215,RO,Cujubim
2306603,0.562,21647,CE,Itatira
2306702,0.612,18162,CE,Jaguaretama
2306801,0.618,11401,CE,Jaguaribara
2306900,0.621,34682,CE,Jaguaribe
2917359,0.613,8385,BA,Jaborandi
2908002,0.613,16993,BA,Coaraci
3157252,0.613,8147,MG,Santa Bárbara do Leste
2506905,0.613,24477,PB,Itabaiana
1301852,0.613,48296,AM,Iranduba
1100072,0.613,7391,RO,Corumbiara
2209500,0.613,3798,PI,Santo Inácio do Piauí
3142700,0.613,14877,MG,Montalvânia
2907301,0.613,26264,BA,Castro Alves
4311429,0.613,2564,RS,Lajeado do Bugre
2806008,0.613,18652,SE,Ribeirópolis
2611903,0.613,23535,PE,Rio Formoso
3159357,0.613,7212,MG,Santa Rita de Minas
2614105,0.613,35907,PE,Sertânia
3158102,0.613,5232,MG,Santa Maria do Salto
5213772,0.613,4479,GO,Montividiu do Norte
2904704,0.613,18349,BA,Buerarema
1501725,0.613,15086,PA,Brasil Novo
2307007,0.624,33705,CE,Jaguaruana
2410009,0.614,3838,RN,Pilões
2404903,0.614,5878,RN,Itaú
3153202,0.614,3641,MG,Presidente Juscelino
2929602,0.614,17398,BA,Sapeaçu
4311122,0.614,3716,RS,Jaquirana
2510600,0.614,3039,PB,Ouro Velho
2912806,0.614,8637,BA,Ibirapuã
2909703,0.614,13910,BA,Cristópolis
2200400,0.614,40524,PI,Altos
2925600,0.614,15142,BA,Presidente Dutra
2928109,0.614,39845,BA,Santa Maria da Vitória
4115457,0.614,4405,PR,Marquinho
2913408,0.614,15640,BA,Igaporã
2413359,0.614,11938,RN,Serra do Mel
3170057,0.614,12471,MG,Ubaporanga
1101104,0.614,10458,RO,Itapuã do Oeste
3138682,0.614,6699,MG,Luislândia
2105203,0.614,11320,MA,Igarapé Grande
3129608,0.614,8395,MG,Ibiaí
1200104,0.614,26278,AC,Brasiléia
1302504,0.614,97377,AM,Manacapuru
3149150,0.614,12107,MG,Pedras de Maria da Cruz
5007703,0.614,10791,MS,Sete Quedas
1600550,0.614,5120,AP,Pracuúba
3147956,0.614,5972,MG,Patis
2307106,0.614,27174,CE,Jardim
2307205,0.651,8111,CE,Jati
2405207,0.615,5268,RN,Janduís
2111102,0.615,25929,MA,São João dos Patos
5103858,0.615,7648,MT,Gaúcha do Norte
2923605,0.615,21607,BA,Paramirim
3140100,0.615,4115,MG,Marilac
2801306,0.615,34213,SE,Capela
3112901,0.615,9298,MG,Caputira
2507002,0.615,24692,PB,Itaporanga
2910503,0.615,41780,BA,Entre Rios
3157609,0.615,3846,MG,Santa Fé de Minas
2206407,0.615,10564,PI,Monsenhor Gil
2700607,0.615,8322,AL,Barra de São Miguel
2604304,0.615,11807,PE,Cedro
3162708,0.615,23618,MG,São João do Paraíso
2109056,0.615,5975,MA,Porto Rico do Maranhão
2412302,0.615,12856,RN,São José do Campestre
3135803,0.615,25391,MG,Jequitinhonha
2926400,0.615,35421,BA,Riacho de Santana
2930006,0.615,11434,BA,Sebastião Laranjeiras
2109551,0.615,7791,MA,Ribamar Fiquene
5213509,0.615,8606,GO,Monte Alegre de Goiás
1507904,0.615,25374,PA,Soure
1502939,0.615,59719,PA,Dom Eliseu
2307254,0.652,19816,CE,Jijoca de Jericoacoara
2400406,0.616,3252,RN,Água Nova
3110806,0.616,3721,MG,Campanário
2402600,0.616,73497,RN,Ceará-Mirim
2209807,0.616,5015,PI,São Gonçalo do Piauí
4305447,0.616,5441,RS,Chuvisca
2912400,0.616,18211,BA,Ibipeba
2906907,0.616,22016,BA,Caravelas
2932705,0.616,20519,BA,Uruçuca
2516102,0.616,14989,PB,Soledade
3145372,0.616,5299,MG,Novorizonte
3121001,0.616,5410,MG,Datas
2929107,0.616,21074,BA,São Felipe
4309571,0.616,3018,RS,Herveiras
1718709,0.616,2834,TO,Rio dos Bois
2104107,0.616,12631,MA,Fortaleza dos Nogueiras
1710706,0.616,5864,TO,Itaguatins
1718865,0.616,7512,TO,Santa Fé do Araguaia
1100452,0.616,39654,RO,Buritis
2111508,0.616,41529,MA,São Mateus do Maranhão
3140852,0.616,11157,MG,Matias Cardoso
2307304,0.694,274207,CE,Juazeiro do Norte
1304062,0.616,65844,AM,Tabatinga
2307403,0.598,24833,CE,Jucás
2307502,0.613,31508,CE,Lavras da Mangabeira
2307601,0.682,59540,CE,Limoeiro do Norte
2407252,0.617,4020,RN,Major Sales
2922201,0.617,7422,BA,Muniz Ferreira
3110202,0.617,3987,MG,Cajuri
2514701,0.617,4141,PB,São José do Sabugi
2927309,0.617,15667,BA,Salinas da Margarida
2512408,0.617,13680,PB,Puxinanã
2932408,0.617,13887,BA,Uibaí
2507804,0.617,7150,PB,Junco do Seridó
2929750,0.617,12043,BA,Saubara
3136553,0.617,4995,MG,José Raydan
5220702,0.617,2989,GO,Sítio d'Abadia
2805901,0.617,10213,SE,Riachuelo
1101450,0.617,6074,RO,Parecis
1508209,0.617,53686,PA,Vigia
2307635,0.61,19691,CE,Madalena
2513208,0.618,6583,PB,Santa Cruz
2504603,0.618,24670,PB,Conde
2921807,0.618,12042,BA,Mortugaba
2205508,0.618,39208,PI,José de Freitas
2203305,0.618,13817,PI,Demerval Lobão
2409308,0.618,12755,RN,Patu
3139250,0.618,6543,MG,Mamonas
2615300,0.618,53022,PE,Timbaúba
3139201,0.618,18650,MG,Malacacheta
4121703,0.618,26715,PR,Reserva
2911105,0.618,25591,BA,Formosa do Rio Preto
2414506,0.618,10555,RN,Umarizal
2804003,0.618,17213,SE,Maruim
2615409,0.618,45219,PE,Toritama
2112803,0.618,52441,MA,Viana
2307650,0.686,227886,CE,Maracanaú
2307700,0.659,128978,CE,Maranguape
2307809,0.612,27361,CE,Marco
2307908,0.599,11233,CE,Martinópole
2308005,0.616,38737,CE,Massapê
2308104,0.605,47962,CE,Mauriti
4302055,0.619,1994,RS,Benjamin Constant do Sul
1704600,0.619,1406,TO,Chapada de Areia
2607208,0.619,96204,PE,Ipojuca
2209450,0.619,2161,PI,Santo Antônio dos Milagres
2502904,0.619,6449,PB,Brejo dos Santos
2204303,0.619,11625,PI,Fronteiras
3150539,0.619,4941,MG,Pingo-d'Água
2106508,0.619,23370,MA,Matinha
1400175,0.619,18335,RR,Cantá
1400472,0.619,30163,RR,Rorainópolis
1600808,0.619,15931,AP,Vitória do Jari
3170529,0.619,16865,MG,Urucuia
2308203,0.618,15057,CE,Meruoca
2308302,0.628,27512,CE,Milagres
3165909,0.62,4156,MG,Senador Modestino Gonçalves
3106804,0.62,3379,MG,Bias Fortes
3102100,0.62,11000,MG,Alto Rio Doce
2200806,0.62,3164,PI,Antônio Almeida
3161056,0.62,3369,MG,São Félix de Minas
4305371,0.62,3279,RS,Charrua
1705102,0.62,3333,TO,Chapada da Natividade
2914703,0.62,64489,BA,Itaberaba
3171907,0.62,5380,MG,Virgolândia
2510709,0.62,2419,PB,Passagem
1713700,0.62,2279,TO,Monte Santo do Tocantins
2914505,0.62,29034,BA,Irará
1709807,0.62,2015,TO,Ipueiras
5004601,0.62,21142,MS,Itaquiraí
3134707,0.62,12326,MG,Jacinto
2411502,0.62,24136,RN,Santo Antônio
1304302,0.62,16256,AM,Urucará
2308351,0.626,13155,CE,Milhã
2308377,0.592,13818,CE,Miraíma
2401305,0.621,9655,RN,Campo Grande
4204178,0.621,3124,SC,Cerro Negro
2906873,0.621,30662,BA,Capim Grosso
2410207,0.621,7867,RN,Portalegre
2515930,0.621,5024,PB,Sertãozinho
3115474,0.621,4986,MG,Catuti
2403202,0.621,7076,RN,Doutor Severiano
2919405,0.621,12388,BA,Licínio de Almeida
2511301,0.621,16075,PB,Piancó
2801009,0.621,18109,SE,Campo do Brito
3158904,0.621,8674,MG,Santana do Manhuaçu
1717206,0.621,3028,TO,Piraquê
3111150,0.621,3817,MG,Campo Azul
2920601,0.621,44677,BA,Maragogipe
2803302,0.621,18743,SE,Japaratuba
1708304,0.621,5123,TO,Goianorte
3117836,0.621,7642,MG,Cônego Marinho
4126678,0.621,14797,PR,Tamarana
1707702,0.621,8856,TO,Filadélfia
2925501,0.621,28174,BA,Prado
2308401,0.622,35393,CE,Missão Velha
2308500,0.582,43797,CE,Mombaça
3122603,0.622,4195,MG,Dom Joaquim
3202553,0.622,8889,ES,Ibitirama
2407401,0.622,8725,RN,Martins
2514008,0.622,4199,PB,São João do Cariri
2408201,0.622,27602,RN,Nísia Floresta
2308609,0.61,17234,CE,Monsenhor Tabosa
3164100,0.622,5246,MG,São Pedro do Suaçuí
2513653,0.622,2636,PB,Joca Claudino
2605509,0.622,12123,PE,Ferreiros
2512606,0.622,1956,PB,Quixaba
4110078,0.622,13111,PR,Imbaú
2106805,0.622,14962,MA,Mirinzal
2610004,0.622,63250,PE,Palmares
2412609,0.622,17579,RN,São Paulo do Potengi
2103802,0.622,23350,MA,Dom Pedro
4314068,0.622,5702,RS,Passa Sete
2921302,0.622,10950,BA,Milagres
3126505,0.622,10332,MG,Francisco Badaró
1200385,0.622,19761,AC,Plácido de Castro
1500131,0.622,7434,PA,Abel Figueiredo
1713601,0.622,7947,TO,Monte do Carmo
2308708,0.61,61890,CE,Morada Nova
1503804,0.622,59155,PA,Jacundá
4203154,0.622,3346,SC,Calmon
2308807,0.581,8724,CE,Moraújo
2308906,0.588,22534,CE,Morrinhos
2309003,0.607,14537,CE,Mucambo
2403400,0.623,6045,RN,Equador
2206308,0.623,1246,PI,Miguel Leão
2504355,0.623,4852,PB,Caturité
5005152,0.623,6712,MS,Juti
2517407,0.623,2240,PB,Zabelê
4318507,0.623,27568,RS,São José do Norte
2910305,0.623,8122,BA,Elísio Medrado
3128204,0.623,10324,MG,Guaraciaba
2603009,0.623,34221,PE,Cabrobó
2414159,0.623,5952,RN,Tenente Laurentino Cruz
2801603,0.623,5897,SE,Cedro de São João
3122207,0.623,7571,MG,Divinolândia de Minas
2506004,0.623,33007,PB,Esperança
2919306,0.623,11409,BA,Lençóis
3107802,0.623,14935,MG,Bom Jesus do Galho
2611002,0.623,36548,PE,Petrolândia
2708600,0.623,61251,AL,São Miguel dos Campos
1505304,0.623,73096,PA,Oriximiná
2932903,0.623,96562,BA,Valença
1720200,0.623,12139,TO,São Miguel do Tocantins
2309102,0.607,10823,CE,Mulungu
2309201,0.625,15565,CE,Nova Olinda
3105707,0.624,5131,MG,Barra Longa
3148806,0.624,3052,MG,Pedra do Anta
3108800,0.624,4801,MG,Braúnas
2400604,0.624,4735,RN,Almino Afonso
3112109,0.624,5438,MG,Caparaó
2400802,0.624,11714,RN,Angicos
2406700,0.624,11277,RN,Lajes
2404853,0.624,7548,RN,Itajá
2103000,0.624,164880,MA,Caxias
3141405,0.624,20820,MG,Medina
4322533,0.624,11781,RS,Vale do Sol
2204709,0.624,15308,PI,Inhuma
3152402,0.624,16555,MG,Poté
3112653,0.624,5468,MG,Capitão Andrade
3155603,0.624,30914,MG,Rio Pardo de Minas
3135456,0.624,7692,MG,Jenipapo de Minas
3109402,0.624,28056,MG,Buritizeiro
3130051,0.624,11990,MG,Icaraí de Minas
1717909,0.624,8039,TO,Ponte Alta do Tocantins
4300638,0.624,7031,RS,Amaral Ferrador
1505437,0.624,32832,PA,Ourilândia do Norte
1400209,0.624,21926,RR,Caracaraí
2309300,0.614,32328,CE,Nova Russas
2309409,0.605,28607,CE,Novo Oriente
3126604,0.625,5215,MG,Francisco Dumont
2406809,0.625,4759,RN,Lajes Pintadas
3157401,0.625,4758,MG,Santa Cruz do Escalvado
2925402,0.625,7224,BA,Potiraguá
3124005,0.625,18895,MG,Ervália
3148400,0.625,4830,MG,Paulistas
3108701,0.625,4333,MG,Brás Pires
2905206,0.625,50975,BA,Caetité
2912103,0.625,21689,BA,Ibicaraí
2901007,0.625,37241,BA,Amargosa
2506509,0.625,3428,PB,Gurjão
2921104,0.625,22688,BA,Medeiros Neto
2901403,0.625,13977,BA,Angical
2104909,0.625,12030,MA,Guimarães
2803500,0.625,104408,SE,Lagarto
3162658,0.625,4419,MG,São João do Pacuí
1200336,0.625,18977,AC,Mâncio Lima
1100403,0.625,21428,RO,Alto Paraíso
2309458,0.594,25703,CE,Ocara
2309508,0.636,21427,CE,Orós
2404507,0.626,15659,RN,Guamaré
3164605,0.626,6775,MG,São Sebastião do Oeste
2309607,0.659,72203,CE,Pacajus
2804300,0.626,7625,SE,Muribeca
3150406,0.626,4982,MG,Piedade dos Gerais
3204500,0.626,12224,ES,Santa Leopoldina
3151909,0.626,8432,MG,Pocrane
3136108,0.626,4573,MG,Joanésia
2515609,0.626,3148,PB,Serra da Raiz
3166204,0.626,10459,MG,Senhora dos Remédios
2928802,0.626,52850,BA,Santo Estêvão
3145455,0.626,6096,MG,Olhos-d'Água
3141504,0.626,6446,MG,Mendes Pimentel
2109452,0.626,30761,MA,Raposa
3119203,0.626,9991,MG,Coroaci
2702306,0.626,56933,AL,Coruripe
1400159,0.626,12409,RR,Bonfim
3169505,0.626,6732,MG,Tumiritinga
2414704,0.626,5500,RN,Várzea
2605707,0.626,32873,PE,Floresta
5212709,0.626,8882,GO,Mambaí
1600154,0.626,16502,AP,Pedra Branca do Amapari
2101004,0.626,29848,MA,Arari
2309706,0.675,83432,CE,Pacatuba
2309805,0.635,12261,CE,Pacoti
2402105,0.626,11217,RN,Campo Redondo
2513802,0.627,4573,PB,Santa Teresinha
3133907,0.627,5419,MG,Itaverava
3109253,0.627,3982,MG,Bugre
2516300,0.627,16966,PB,Sumé
2508307,0.627,27503,PB,Lagoa Seca
3120839,0.627,4982,MG,Cuparaque
2210805,0.627,12711,PI,Simplício Mendes
1506351,0.627,21079,PA,Santa Bárbara do Pará
2513703,0.627,136586,PB,Santa Rita
2929305,0.627,37550,BA,São Gonçalo dos Campos
1101807,0.627,6825,RO,Vale do Paraíso
1702901,0.627,9756,TO,Axixá do Tocantins
3119500,0.627,9222,MG,Coronel Murta
1716653,0.627,5477,TO,Pequizeiro
2905404,0.627,18176,BA,Cairu
3148707,0.627,24324,MG,Pedra Azul
3148608,0.627,17541,MG,Peçanha
3154507,0.627,9481,MG,Riacho dos Machados
3124302,0.627,31617,MG,Espinosa
5105234,0.627,6121,MT,Lambari D'Oeste
3148509,0.627,8450,MG,Pavão
1711902,0.627,13357,TO,Lagoa da Confusão
1703826,0.627,2275,TO,Cachoeirinha
1703800,0.627,11348,TO,Buriti do Tocantins
2915601,0.627,64486,BA,Itamaraju
2309904,0.621,6533,CE,Pacujá
2310001,0.638,9386,CE,Palhano
2411908,0.628,4228,RN,São Francisco do Oeste
3158508,0.628,7642,MG,Santana de Pirapama
5100102,0.628,5399,MT,Acorizal
2509701,0.628,33222,PB,Monteiro
2515500,0.628,13699,PB,Serra Branca
2926301,0.628,33436,BA,Riachão do Jacuípe
2202752,0.628,6484,PI,Colônia do Gurguéia
1500107,0.628,157698,PA,Abaetetuba
3106507,0.628,11932,MG,Berilo
1600212,0.628,5983,AP,Cutias
3132008,0.628,5385,MG,Itacambira
3136504,0.628,10812,MG,Jordânia
1713809,0.628,6658,TO,Palmeiras do Tocantins
2310100,0.622,13322,CE,Palmácia
2310209,0.637,35076,CE,Paracuru
4322327,0.629,3438,RS,Turuçu
2401651,0.629,2223,RN,Bodó
3123304,0.629,4259,MG,Dores do Turvo
4219150,0.629,2477,SC,Vargem
4122156,0.629,13269,PR,Rio Bonito do Iguaçu
3150109,0.629,2748,MG,Piau
3138104,0.629,6512,MG,Lassance
2403301,0.629,5638,RN,Encanto
4104402,0.629,15018,PR,Cândido de Abreu
